100
0.899915 0.480382 
0.256794 0.379916
0.825410 0.279753
0.534659 0.416145
0.679364 0.850037
0.154672 0.708026
0.365754 0.066581
0.488391 0.728678
0.669858 0.026407
0.326477 0.838494
0.556811 0.715800
0.197294 0.376059
0.529422 0.488890
0.907731 0.395970
0.074972 0.499215
0.443492 0.974886
0.979597 0.700286
0.354802 0.805007
0.980039 0.889461
0.221152 0.659404
0.739498 0.375824
0.367429 0.105252
0.442405 0.855820
0.833930 0.112263
0.882227 0.160406
0.950757 0.439038
0.876206 0.148050
0.815097 0.405628
0.636940 0.722828
0.801598 0.711912
0.222043 0.245090
0.686799 0.201640
0.945376 0.041601
0.006647 0.925416
0.931061 0.227799
0.584819 0.670559
0.603623 0.952249
0.775811 0.046028
0.808069 0.609741
0.158291 0.690296
0.770147 0.109047
0.129334 0.646353
0.257098 0.944431
0.051981 0.894038
0.667259 0.853579
0.605950 0.889302
0.098669 0.292749
0.090942 0.044046
0.334349 0.097589
0.969461 0.265411
0.325388 0.554280
0.935969 0.929011
0.506529 0.711780
0.975039 0.314598
0.321521 0.133329
0.004894 0.091668
0.242377 0.134227
0.738021 0.499474
0.078659 0.790003
0.393512 0.745918
0.643582 0.999463
0.635220 0.742252
0.292212 0.726163
0.786297 0.626561
0.823751 0.755759
0.891972 0.149139
0.310039 0.827941
0.078150 0.816568
0.539722 0.053189
0.131166 0.861243
0.186518 0.136059
0.952911 0.428895
0.270287 0.690932
0.928369 0.348945
0.480935 0.321881
0.094863 0.124517
0.321344 0.730084
0.866769 0.613556
0.456247 0.653066
0.240117 0.279998
0.408824 0.132088
0.429137 0.718863
0.960030 0.507288
0.535431 0.499751
0.560477 0.666597
0.360994 0.746995
0.802656 0.313904
0.175890 0.072943
0.004836 0.104259
0.421889 0.485771
0.426140 0.516752
0.610288 0.747485
0.246836 0.477057
0.361040 0.703083
0.130123 0.601157
0.983081 0.538947
0.733246 0.412218
0.257810 0.693275
0.919506 0.793241
0.193027 0.479983
